"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"37","North Carolina","37001021400","Alamance County, NC - 37001021400","2020","6.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021400","Alamance County, NC - 37001021400","2020","23.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021500","Alamance County, NC - 37001021500","2020","5.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021500","Alamance County, NC - 37001021500","2020","12.4%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021600","Alamance County, NC - 37001021600","2020","22.4%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021600","Alamance County, NC - 37001021600","2020","56.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021701","Alamance County, NC - 37001021701","2020","52.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021701","Alamance County, NC - 37001021701","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021702","Alamance County, NC - 37001021702","2020","43.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021702","Alamance County, NC - 37001021702","2020","86.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021703","Alamance County, NC - 37001021703","2020","31.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021703","Alamance County, NC - 37001021703","2020","70.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021801","Alamance County, NC - 37001021801","2020","4.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021801","Alamance County, NC - 37001021801","2020","16.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021802","Alamance County, NC - 37001021802","2020","7.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021802","Alamance County, NC - 37001021802","2020","14.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021803","Alamance County, NC - 37001021803","2020","0.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021803","Alamance County, NC - 37001021803","2020","2.4%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021901","Alamance County, NC - 37001021901","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021901","Alamance County, NC - 37001021901","2020","2.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021902","Alamance County, NC - 37001021902","2020","2.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021902","Alamance County, NC - 37001021902","2020","8.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001022001","Alamance County, NC - 37001022001","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001022001","Alamance County, NC - 37001022001","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001022002","Alamance County, NC - 37001022002","2020","1.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001022002","Alamance County, NC - 37001022002","2020","8.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040100","Alexander County, NC - 37003040100","2020","4.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040100","Alexander County, NC - 37003040100","2020","11.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040200","Alexander County, NC - 37003040200","2020","0.2%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040200","Alexander County, NC - 37003040200","2020","1.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040300","Alexander County, NC - 37003040300","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040300","Alexander County, NC - 37003040300","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040400","Alexander County, NC - 37003040400","2020","10.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040400","Alexander County, NC - 37003040400","2020","31.1%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040500","Alexander County, NC - 37003040500","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040500","Alexander County, NC - 37003040500","2020","0.1%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040600","Alexander County, NC - 37003040600","2020","2.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040600","Alexander County, NC - 37003040600","2020","8.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37003040700","Alexander County, NC - 37003040700","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37003040700","Alexander County, NC - 37003040700","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37005950100","Alleghany County, NC - 37005950100","2020","20.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37005950100","Alleghany County, NC - 37005950100","2020","30.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37005950200","Alleghany County, NC - 37005950200","2020","10.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37005950200","Alleghany County, NC - 37005950200","2020","23.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37005950300","Alleghany County, NC - 37005950300","2020","8.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37005950300","Alleghany County, NC - 37005950300","2020","17.4%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920100","Anson County, NC - 37007920100","2020","0.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920100","Anson County, NC - 37007920100","2020","1.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920200","Anson County, NC - 37007920200","2020","26.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920200","Anson County, NC - 37007920200","2020","34.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920301","Anson County, NC - 37007920301","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920301","Anson County, NC - 37007920301","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920302","Anson County, NC - 37007920302","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920302","Anson County, NC - 37007920302","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920400","Anson County, NC - 37007920400","2020","4.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920400","Anson County, NC - 37007920400","2020","11.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920501","Anson County, NC - 37007920501","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920501","Anson County, NC - 37007920501","2020","1.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007920502","Anson County, NC - 37007920502","2020","12.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920502","Anson County, NC - 37007920502","2020","31.9%","",,"Distance to Parks: 1 Mile"
